"sentence","label","knowledge_dimension","cognitive_process"
"Debug resource allocation for copper wire; analyze capacity management from bin A2; investigate load balancing of tactile sensor array.","Metacognitive_Analyze","Metacognitive","Analyze"
"Paraphrase safety protocol for hydraulic pump; explain emergency procedure from the table 4.","Procedural_Understand","Procedural","Understand"
"List the serial number of the quartz crystal from rack R3; identify the manufacturing date using ultrasonic sensor 2.","Factual_Remember","Factual","Remember"
"Enumerate startup sequence for kevlar strap; recall initialization steps from bin B1.","Procedural_Remember","Procedural","Remember"
"Summarize storage principles for steel wrench; explain environmental categories from the table 4; describe rules via depth camera 1.","Conceptual_Understand","Conceptual","Understand"
"Explain the marking purpose on junction box; paraphrase the product description from the table 5; interpret the specs from joint 6.","Factual_Understand","Factual","Understand"
"Compose serial number for stainless steel valve; design part ID format from bin B3; formulate code using vacuum generator 1.","Factual_Create","Factual","Create"
"Summarize calibration method for cellphone; explain adjustment procedure from sorting bench 3.","Procedural_Understand","Procedural","Understand"
"Classify brass connector samples from conveyor belt 1; arrange by attribute.","Factual_Analyze","Factual","Analyze"
"Enumerate testing procedure for ceramic capacitor; recall validation steps from sorting bench 2; state verification for pressure pad sensor.","Procedural_Remember","Procedural","Remember"
"Assess condition of flow regulator from bin A4; evaluate packaging integrity.","Factual_Evaluate","Factual","Evaluate"
"Compare encoder wheel dimensions to spec from storage unit 2; contrast variants using force sensor C; differentiate by weight with increased grip.","Factual_Analyze","Factual","Analyze"
"Contrast protocol types for servo motor; compare procedure categories from shelf S6; analyze method differences via joint 2.","Conceptual_Analyze","Conceptual","Analyze"
"Probe testing procedure for flow regulator; investigate validation from bin C1; analyze verification for force sensor B.","Procedural_Analyze","Procedural","Analyze"
"Produce documentation for red apple; create spec sheet with high torque.","Factual_Create","Factual","Create"
"Analyze startup sequence for teflon washer; debug initialization from zone Z4; examine boot process for ultrasonic sensor 2.","Procedural_Analyze","Procedural","Analyze"
"Interpret the serial format of servo motor; clarify the barcode meaning from the table 4.","Factual_Understand","Factual","Understand"
"Program automated sequence for platinum wire; develop robotic procedure from bin B3; create workflow for joint 2.","Procedural_Create","Procedural","Create"
"Recognize performance baseline for stainless steel valve; identify benchmark from storage unit 5; recall target for proximity detector 1.","Metacognitive_Remember","Metacognitive","Remember"
"Turn on the silicone gasket reliably; engage the locking mechanism from the table 2.","Factual_Apply","Factual","Apply"
"Examine performance variation for fuse holder; analyze efficiency fluctuation from shelf S5.","Metacognitive_Analyze","Metacognitive","Analyze"
"Plug in the fuse holder accurately; connect the power cable from zone Z2; insert into socket using suction cup A.","Factual_Apply","Factual","Apply"
"State current error state of lead-free solder; recall warning message from bin C2; identify alert for servo controller 1.","Metacognitive_Remember","Metacognitive","Remember"
"Recall classification group for lithium battery; identify item family from bin C1; name standard category for suction cup A.","Conceptual_Remember","Conceptual","Remember"
"Critique learning progress for titanium bolt; evaluate skill development from bin A2.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Clarify configuration process for plastic bag; explain setup procedure from workcell W5; describe initialization for magnetic head 1.","Procedural_Understand","Procedural","Understand"
"Plan testing methodology for tennis ball; create validation procedure from bin B1; design verification for vision sensor 1.","Procedural_Create","Procedural","Create"
"Recognize the gas detector variant from bin C5; identify the batch number; list the SKU using gripper C.","Factual_Remember","Factual","Remember"
"Demonstrate procedure category for servo motor; apply method rules from the table 5.","Conceptual_Apply","Conceptual","Apply"
"Design adaptive control for stepper driver; create self-regulation mechanism from zone Z3.","Metacognitive_Create","Metacognitive","Create"
"Carry out assembly for kevlar strap; execute construction steps from station ST2; perform build on depth camera 2 within 40s.","Procedural_Apply","Procedural","Apply"
"Probe metal gear for hidden damage from rack R2; investigate internal components.","Factual_Analyze","Factual","Analyze"
"Deconstruct categorization logic for din rail; break down criteria from bin A5.","Conceptual_Analyze","Conceptual","Analyze"
"Implement protocol for kevlar strap; execute standard procedure from bin B5; run sequence on thermal camera 2 in under 10s.","Procedural_Apply","Procedural","Apply"
"List the serial number of the silicon wafer from shelf S2; identify the manufacturing date using joint 4; locate the barcode within 35s.","Factual_Remember","Factual","Remember"
"Name storage category for steel wrench; recall environment class from shelf S6; identify handling group via thermal camera 1.","Conceptual_Remember","Conceptual","Remember"
"Paraphrase safety classification for zirconia bearing; interpret hazard categories from the staging area.","Conceptual_Understand","Conceptual","Understand"
"Develop protocol framework for circuit board; create procedure categories from rack R1.","Conceptual_Create","Conceptual","Create"
"Describe the operational limits of thermal compound tube; summarize the tolerance range from shelf S7.","Factual_Understand","Factual","Understand"
"Implement settings on polycarbonate shield; apply the configuration from shelf S6.","Factual_Apply","Factual","Apply"
"Construct plastic bag housing firmly; create enclosure from bin C2; assemble using suction cup A.","Factual_Create","Factual","Create"
"Examine performance variation for tennis ball; analyze efficiency fluctuation from sorting bench 3.","Metacognitive_Analyze","Metacognitive","Analyze"
"State the part category of humidity sensor; name the component family from the staging area.","Factual_Remember","Factual","Remember"
"State the category class for junction box; recall sorting rule from station ST4.","Conceptual_Remember","Conceptual","Remember"
"State awareness level for chemical flask task; recall attention state from rack R2.","Metacognitive_Remember","Metacognitive","Remember"
"Summarize awareness state for platinum wire; explain attention allocation from shelf S7.","Metacognitive_Understand","Metacognitive","Understand"
"Compose serial number for sapphire lens; design part ID format from the table 2; formulate code using lidar unit 3.","Factual_Create","Factual","Create"
"Apply self-monitoring during nylon gear task; use awareness techniques from storage unit 4; implement self-regulation for suction cup C per specification.","Metacognitive_Apply","Metacognitive","Apply"
"Formulate awareness enhancement for relay module; create attention optimization from bin B4.","Metacognitive_Create","Metacognitive","Create"
"Recall classification group for brass connector; identify item family from the table 3; name standard category for vision sensor 1.","Conceptual_Remember","Conceptual","Remember"
"Carry out maintenance for pressure gauge; execute service routine from workcell W6; perform inspection on magnetic head 1 by standard.","Procedural_Apply","Procedural","Apply"
"Summarize handling principles for silicon wafer; explain classification from the table 5; describe categorization via lidar unit 2.","Conceptual_Understand","Conceptual","Understand"
"State resource utilization for tennis ball; recall capacity remaining from zone Z4; identify load for gripper D.","Metacognitive_Remember","Metacognitive","Remember"
"Judge procedure timing for tea cup; evaluate sequence duration from workcell W1; assess efficiency of joint 2.","Procedural_Evaluate","Procedural","Evaluate"
"Predict resource consumption for tungsten electrode; estimate capacity needs from storage unit 5; describe load for force sensor A.","Metacognitive_Understand","Metacognitive","Understand"
"Critique learning progress for rubber gasket; evaluate skill development from bin A2; assess competency of thermal camera 1.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Critique safety assignment for red apple; evaluate risk classification from bin B4.","Conceptual_Evaluate","Conceptual","Evaluate"
"Interpret protocol framework for metal gear; explain procedure categories from rack R1; clarify method types via lidar unit 3.","Conceptual_Understand","Conceptual","Understand"
"Deconstruct categorization logic for cable gland; break down criteria from workcell W7; analyze principles via suction cup C.","Conceptual_Analyze","Conceptual","Analyze"
"Name the product line of lead-free solder; state the origin country from station ST4; recognize the brand via torque sensor 3.","Factual_Remember","Factual","Remember"
"Describe testing methodology for neodymium magnet; explain validation process from the table 2; summarize verification for force sensor C.","Procedural_Understand","Procedural","Understand"
"Illustrate the component layout of platinum wire; clarify the pin configuration from workcell W4.","Factual_Understand","Factual","Understand"
"Recognize learning progress for encoder wheel; identify skill level from bin B1.","Metacognitive_Remember","Metacognitive","Remember"
"Critique learning progress for rubber gasket; evaluate skill development from rack R4.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Reflect on success of pneumatic cylinder move; assess confidence of grasp from the table 4; rate efficiency of laser scanner 1 path.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Formulate configuration process for terminal block; create setup procedure from the table 5.","Procedural_Create","Procedural","Create"
"Deconstruct learning process for tennis ball; analyze skill acquisition from workcell W2; examine development of proximity detector 2.","Metacognitive_Analyze","Metacognitive","Analyze"
"State the part category of epoxy resin block; name the component family from the table 4.","Factual_Remember","Factual","Remember"
"Recall classification group for servo motor; identify item family from the table 5; name standard category for rotary actuator 1.","Conceptual_Remember","Conceptual","Remember"
"Utilize the thermal compound tube for task from station ST4; employ the component rapidly; use rotary actuator 2 specifically within 25s.","Factual_Apply","Factual","Apply"
"Test functionality of ceramic capacitor from station ST1; check operational status.","Factual_Evaluate","Factual","Evaluate"
"Interpret the serial format of limit sensor; clarify the barcode meaning from shelf S9; explain the labeling system of tactile sensor array.","Factual_Understand","Factual","Understand"
"State the part category of graphene membrane; name the component family from zone Z5; identify the class via joint 5.","Factual_Remember","Factual","Remember"
"Operate the neodymium magnet control panel rapidly; execute the power-on from workcell W1; run in standard mode via depth camera 1.","Factual_Apply","Factual","Apply"
"Recognize confidence level for acrylic panel; identify certainty score from bin C2; recall metric for vision sensor 3.","Metacognitive_Remember","Metacognitive","Remember"
"Examine maintenance protocol for gas detector; analyze service procedure from storage unit 5.","Procedural_Analyze","Procedural","Analyze"
"Implement settings on glass vial; apply the configuration from workcell W2.","Factual_Apply","Factual","Apply"
"Paraphrase safety protocol for temperature probe; explain emergency procedure from bin C5.","Procedural_Understand","Procedural","Understand"
"Recognize decision history for encoder wheel; identify previous choices from bin B2.","Metacognitive_Remember","Metacognitive","Remember"
"Assess weight of cable gland from workcell W5; measure dimensions accurately; evaluate compliance via servo controller 2.","Factual_Evaluate","Factual","Evaluate"
"Build aluminum bracket assembly reliably; construct mounting bracket from workcell W2; create fixture using joint 5.","Factual_Create","Factual","Create"
"Run testing procedure for platinum wire; execute validation from sorting bench 2.","Procedural_Apply","Procedural","Apply"
"Implement protocol for rubber gasket; execute standard procedure from sorting bench 3.","Procedural_Apply","Procedural","Apply"
"Appraise handling method for nickel alloy rod; critique applied protocol from workcell W4; evaluate technique via vision sensor 3.","Conceptual_Evaluate","Conceptual","Evaluate"
"Rate priority assignment for aluminum bracket; judge urgency classification from the table 7.","Conceptual_Evaluate","Conceptual","Evaluate"
"Manufacture relay module batch from rack R5; fabricate production run.","Factual_Create","Factual","Create"
"Use fragile handling for plastic bag; apply delicate protocol from the table 7; demonstrate careful technique with torque sensor 3.","Conceptual_Apply","Conceptual","Apply"
"Compare neodymium magnet dimensions to spec from the table 1; contrast variants using joint 1; differentiate by weight smoothly.","Factual_Analyze","Factual","Analyze"
"Clarify the voltage requirements of plastic bag; describe the temperature range from bin A1.","Factual_Understand","Factual","Understand"
"Formulate storage categories for tungsten electrode; create environment definitions from workcell W7; design preservation via lidar unit 2.","Conceptual_Create","Conceptual","Create"
"Construct theoretical framework for silicon wafer; develop conceptual model from the table 6; create hierarchy via vision sensor 2.","Conceptual_Create","Conceptual","Create"
"Assess procedure effectiveness for sapphire lens; evaluate protocol efficiency from sorting bench 1.","Procedural_Evaluate","Procedural","Evaluate"
"Describe the texture of platinum wire surface; summarize the dimensions from sorting bench 2.","Factual_Understand","Factual","Understand"
"Apply priority protocol to limit sensor; use urgency rules from the table 6.","Conceptual_Apply","Conceptual","Apply"
"Investigate recovery procedure for flow regulator; analyze restart sequence from the table 5; examine reset for force sensor B.","Procedural_Analyze","Procedural","Analyze"
"Contrast protocol types for zirconia bearing; compare procedure categories from bin A1.","Conceptual_Analyze","Conceptual","Analyze"
"Appraise theoretical foundation for hydraulic pump; evaluate principle application from bin B2; critique approach via joint 1.","Conceptual_Evaluate","Conceptual","Evaluate"
"Troubleshoot shutdown sequence for din rail; debug termination from storage unit 5; analyze power-off for proximity detector 1.","Procedural_Analyze","Procedural","Analyze"
"State resource utilization for lithium battery; recall capacity remaining from bin B1.","Metacognitive_Remember","Metacognitive","Remember"
"Interpret protocol framework for gas detector; explain procedure categories from conveyor belt 3.","Conceptual_Understand","Conceptual","Understand"
"Identify assembly sequence for steel wrench; recall construction steps from bin C3.","Procedural_Remember","Procedural","Remember"
"Apply handling theory to lithium battery; use standard protocol from bin B1.","Conceptual_Apply","Conceptual","Apply"
"Compare sapphire lens to reference model from storage unit 5; distinguish vintage from modern.","Conceptual_Analyze","Conceptual","Analyze"
"Critique categorization of sapphire lens from shelf S2; judge if item belongs in zone.","Conceptual_Evaluate","Conceptual","Evaluate"
"Generate confidence calibration for flow regulator; create certainty validation from rack R2.","Metacognitive_Create","Metacognitive","Create"
"Utilize the glass vial for task from the intake hopper; employ the component accurately.","Factual_Apply","Factual","Apply"
"Plan testing methodology for proximity switch; create validation procedure from conveyor belt 3; design verification for servo controller 1.","Procedural_Create","Procedural","Create"
"Examine self-regulation for cellphone; analyze adaptation patterns from shelf S5; investigate adjustment of servo controller 2.","Metacognitive_Analyze","Metacognitive","Analyze"
"Run cleaning protocol for encoder wheel; execute sanitation from the staging area; perform disinfection on depth camera 1 within 60s.","Procedural_Apply","Procedural","Apply"
"Verify testing methodology for stepper driver; evaluate validation coverage from bin C2.","Procedural_Evaluate","Procedural","Evaluate"
"Compose maintenance schedule for junction box; create service routine from zone Z5; design inspection for lidar unit 2.","Procedural_Create","Procedural","Create"
"Carry out assembly for tungsten electrode; execute construction steps from bin B2.","Procedural_Apply","Procedural","Apply"
"Verify recovery procedure for lead-free solder; evaluate restart effectiveness from the output chute; assess reset of thermal camera 2.","Procedural_Evaluate","Procedural","Evaluate"
"Explain performance trend for tennis ball; describe efficiency pattern from workcell W4.","Metacognitive_Understand","Metacognitive","Understand"
"Demonstrate procedure category for relay module; apply method rules from zone Z5; use protocol type via lidar unit 1 as instructed.","Conceptual_Apply","Conceptual","Apply"
"Illustrate the component layout of temperature probe; clarify the pin configuration from shelf S2; explain the wiring via vision sensor 1.","Factual_Understand","Factual","Understand"
"Design recovery procedure for gas detector; create restart sequence from shelf S3; develop reset for suction cup C.","Procedural_Create","Procedural","Create"
"Design self-monitoring framework for carbon fiber sheet; create awareness system from the table 5.","Metacognitive_Create","Metacognitive","Create"
"Contrast protocol types for nylon gear; compare procedure categories from shelf S4.","Conceptual_Analyze","Conceptual","Analyze"
"Predict battery drain for aluminum bracket task; estimate time remaining from shelf S4.","Metacognitive_Understand","Metacognitive","Understand"
"Generate decision improvement for silicon wafer; create reasoning enhancement from workcell W2; develop cognitive optimization for joint 3.","Metacognitive_Create","Metacognitive","Create"
"Summarize storage principles for platinum wire; explain environmental categories from zone Z5.","Conceptual_Understand","Conceptual","Understand"
"Self-regulate performance for relay module; adjust effort from bin C2; adapt attention for lidar unit 1 accurately.","Metacognitive_Apply","Metacognitive","Apply"
"Design self-monitoring framework for plastic bag; create awareness system from storage unit 2.","Metacognitive_Create","Metacognitive","Create"
"Examine relationship between sapphire lens categories; investigate hierarchy from shelf S5; analyze structure via rotary actuator 1.","Conceptual_Analyze","Conceptual","Analyze"
"State cleaning protocol for stepper driver; recall sanitation steps from bin B4; list disinfection for thermal camera 1.","Procedural_Remember","Procedural","Remember"
"Interpret protocol framework for carbon fiber sheet; explain procedure categories from workcell W2.","Conceptual_Understand","Conceptual","Understand"
"Describe priority scheme for thermal compound tube; explain urgency classification from storage unit 4; summarize tier system via vision sensor 2.","Conceptual_Understand","Conceptual","Understand"
"Compose calibration routine for silicon wafer; design adjustment procedure from station ST2; create tuning for proximity detector 1.","Procedural_Create","Procedural","Create"
"Predict resource consumption for cellphone; estimate capacity needs from shelf S2.","Metacognitive_Understand","Metacognitive","Understand"
"Turn on the cellphone carefully; engage the locking mechanism from bin A3; push the start button via force sensor A.","Factual_Apply","Factual","Apply"
"Explain learning curve for acrylic panel; describe skill progress from shelf S9; interpret development for encoder module 2.","Metacognitive_Understand","Metacognitive","Understand"
"Rate adaptation effectiveness for copper wire; evaluate adjustment quality from storage unit 2.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Predict battery drain for stainless steel valve task; estimate time remaining from rack R1.","Metacognitive_Understand","Metacognitive","Understand"
"Design new procedure for graphene membrane; create optimized workflow from bin B4.","Procedural_Create","Procedural","Create"
"Probe confidence calibration for polycarbonate shield; analyze certainty accuracy from bin A5; investigate reliability of servo controller 1.","Metacognitive_Analyze","Metacognitive","Analyze"
"Survey the lithium battery inventory from shelf S1; examine stock levels.","Factual_Analyze","Factual","Analyze"
"Formulate awareness enhancement for neodymium magnet; create attention optimization from storage unit 4.","Metacognitive_Create","Metacognitive","Create"
"Classify kevlar strap based on material; explain composition categories from workcell W7.","Conceptual_Understand","Conceptual","Understand"
"Probe confidence calibration for platinum wire; analyze certainty accuracy from the staging area; investigate reliability of rotary actuator 2.","Metacognitive_Analyze","Metacognitive","Analyze"
"Survey category items for potentiometer dial from bin B3; examine class distribution; analyze proportions via vision sensor 2.","Conceptual_Analyze","Conceptual","Analyze"
"Demonstrate procedure category for ceramic capacitor; apply method rules from shelf S4; use protocol type via vacuum generator 2 with minimum delay.","Conceptual_Apply","Conceptual","Apply"
"Critique error recovery for lithium battery; evaluate fault handling from storage unit 1.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Distinguish carbon fiber sheet by serial number; separate by size from zone Z5; identify defects via joint 6.","Factual_Analyze","Factual","Analyze"
"Describe theory behind flow regulator handling; explain underlying principle from bin B2; summarize framework for magnetic head 3.","Conceptual_Understand","Conceptual","Understand"
"Differentiate category items for copper wire; analyze classification differences from conveyor belt 3; examine boundaries via gripper C.","Conceptual_Analyze","Conceptual","Analyze"
"Rate quality of stepper driver from shelf S3; score condition on scale; grade appearance via laser scanner 2.","Factual_Evaluate","Factual","Evaluate"
"Generate packaging for steel wrench; create protective case from shelf S2; design container using lidar unit 1.","Factual_Create","Factual","Create"
"Apply weight class handling for cable gland; use size guidelines from workcell W8.","Conceptual_Apply","Conceptual","Apply"
"Illustrate relationship between tennis ball types; explain category hierarchy from workcell W2.","Conceptual_Understand","Conceptual","Understand"
"Name the model ID of the hydraulic pump; recall the part number from the table 2.","Factual_Remember","Factual","Remember"
"Compose calibration routine for potentiometer dial; design adjustment procedure from station ST3.","Procedural_Create","Procedural","Create"
"Recall safety class for pressure gauge; state hazard category from sorting bench 1; identify risk level for suction cup C.","Conceptual_Remember","Conceptual","Remember"
"Demonstrate storage principles for encoder wheel; apply environmental rules from zone Z1.","Conceptual_Apply","Conceptual","Apply"
"Use the potentiometer dial in under 45s; apply the label from the output chute.","Factual_Apply","Factual","Apply"
"Execute category handling for gas detector; apply theory from sorting bench 3; demonstrate principle via lidar unit 2 firmly.","Conceptual_Apply","Conceptual","Apply"
"Adjust approach for chemical flask based on feedback; adapt strategy from bin B5.","Metacognitive_Apply","Metacognitive","Apply"
"Describe the operational limits of nylon gear; summarize the tolerance range from conveyor belt 3; explain the calibration needs for gripper C.","Factual_Understand","Factual","Understand"
"Summarize awareness state for fiber optic cable; explain attention allocation from bin C3; describe focus for gripper B.","Metacognitive_Understand","Metacognitive","Understand"
"Produce documentation for fuse holder; create spec sheet delicately; generate data label via joint 5.","Factual_Create","Factual","Create"
"Carry out maintenance for flow regulator; execute service routine from the table 1; perform inspection on thermal camera 1 slowly.","Procedural_Apply","Procedural","Apply"
"Rate adaptation effectiveness for quartz crystal; evaluate adjustment quality from conveyor belt 2; assess flexibility of joint 1.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Recognize decision history for temperature probe; identify previous choices from bin C3.","Metacognitive_Remember","Metacognitive","Remember"
"State awareness level for stainless steel valve task; recall attention state from the intake hopper.","Metacognitive_Remember","Metacognitive","Remember"
"Explain the safety symbols on pressure sensor; interpret the warning label from shelf S7.","Factual_Understand","Factual","Understand"
"Execute category handling for steel wrench; apply theory from conveyor belt 1.","Conceptual_Apply","Conceptual","Apply"
"Design hybrid category for pressure gauge; create cross-classification from station ST2.","Conceptual_Create","Conceptual","Create"
"Develop safety classification for tungsten electrode; create risk scheme from workcell W1.","Conceptual_Create","Conceptual","Create"
"Apply handling theory to plastic bag; use standard protocol from zone Z2; demonstrate grip technique with ultrasonic sensor 2.","Conceptual_Apply","Conceptual","Apply"
"List the expiry date of nickel alloy rod from the table 2; identify the lot number.","Factual_Remember","Factual","Remember"
"Judge awareness quality for servo motor; evaluate attention effectiveness from the table 1; assess focus of vision sensor 3.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Monitor temperature of polyethylene tube from storage unit 4; check voltage reading; verify current via ultrasonic sensor 1.","Factual_Evaluate","Factual","Evaluate"
"Recognize decision history for tennis ball; identify previous choices from bin C2.","Metacognitive_Remember","Metacognitive","Remember"
"Critique learning progress for rubber gasket; evaluate skill development from storage unit 6.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Describe the operational limits of quartz crystal; summarize the tolerance range from storage unit 5; explain the calibration needs for laser scanner 2.","Factual_Understand","Factual","Understand"
"Judge confidence calibration for terminal block; evaluate certainty reliability from storage unit 5; assess prediction quality of joint 6.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Recognize performance baseline for humidity sensor; identify benchmark from storage unit 6.","Metacognitive_Remember","Metacognitive","Remember"
"Appraise handling method for silicon wafer; critique applied protocol from workcell W7; evaluate technique via torque sensor 1.","Conceptual_Evaluate","Conceptual","Evaluate"
"Probe theoretical basis for glass vial; investigate foundations from the table 7.","Conceptual_Analyze","Conceptual","Analyze"
"Predict outcome for graphene membrane action; estimate success probability from shelf S5; describe expectation for laser scanner 1.","Metacognitive_Understand","Metacognitive","Understand"
"Recognize performance baseline for vibration monitor; identify benchmark from storage unit 5; recall target for proximity detector 1.","Metacognitive_Remember","Metacognitive","Remember"
"Apply awareness enhancement for fuse holder; use attention techniques from bin C1; implement focus control for torque sensor 2 by standard.","Metacognitive_Apply","Metacognitive","Apply"
"Contrast handling methods for pressure gauge; compare category protocols from station ST4; analyze variations via torque sensor 3.","Conceptual_Analyze","Conceptual","Analyze"
"Develop safety classification for lead-free solder; create risk scheme from bin A5.","Conceptual_Create","Conceptual","Create"
"Plan testing methodology for encoder wheel; create validation procedure from storage unit 1.","Procedural_Create","Procedural","Create"
"Probe theoretical basis for tea cup; investigate foundations from conveyor belt 1.","Conceptual_Analyze","Conceptual","Analyze"
"Adjust confidence thresholds for vibration monitor; adapt certainty parameters from conveyor belt 3; self-calibrate reliability of magnetic head 2 with full power.","Metacognitive_Apply","Metacognitive","Apply"
"Manufacture cellphone batch from storage unit 1; fabricate production run; build using depth camera 2 in under 20s.","Factual_Create","Factual","Create"
"Design hybrid category for glass vial; create cross-classification from station ST4; develop multi-attribute via proximity detector 2.","Conceptual_Create","Conceptual","Create"
"Enumerate testing procedure for potentiometer dial; recall validation steps from shelf S2; state verification for joint 6.","Procedural_Remember","Procedural","Remember"
"Illustrate relationship between graphene membrane types; explain category hierarchy from zone Z4; describe tree via joint 1.","Conceptual_Understand","Conceptual","Understand"
"Compose calibration routine for brass connector; design adjustment procedure from bin B2.","Procedural_Create","Procedural","Create"
"Probe thermal compound tube for hidden damage from workcell W8; investigate internal components; explore quality using torque sensor 3.","Factual_Analyze","Factual","Analyze"
"Assemble pneumatic cylinder components accurately; construct complete unit from shelf S7; build final assembly using vision sensor 2.","Factual_Create","Factual","Create"
"Develop protocol framework for kevlar strap; create procedure categories from shelf S3.","Conceptual_Create","Conceptual","Create"
"Classify thermal compound tube samples from storage unit 6; arrange by attribute; order using pressure pad sensor output.","Factual_Analyze","Factual","Analyze"
"Probe testing procedure for rubber gasket; investigate validation from shelf S1.","Procedural_Analyze","Procedural","Analyze"
"Invent new category for flow regulator; design classification for items from the table 1.","Conceptual_Create","Conceptual","Create"
"Classify glass vial based on material; explain composition categories from the intake hopper; interpret grouping via rotary actuator 1.","Conceptual_Understand","Conceptual","Understand"
"Develop safety classification for ceramic capacitor; create risk scheme from conveyor belt 1.","Conceptual_Create","Conceptual","Create"
"Formulate recovery strategy for quartz crystal; generate self-diagnosis from storage unit 5.","Metacognitive_Create","Metacognitive","Create"
"Apply awareness enhancement for circuit board; use attention techniques from workcell W1.","Metacognitive_Apply","Metacognitive","Apply"
"Build acrylic panel assembly safely; construct mounting bracket from shelf S3.","Factual_Create","Factual","Create"
"Compare procedures for titanium bolt; contrast methods from the staging area; analyze options for lidar unit 3.","Procedural_Analyze","Procedural","Analyze"
"Clarify the voltage requirements of kevlar strap; describe the temperature range from the staging area; summarize the power data from laser scanner 2.","Factual_Understand","Factual","Understand"
"Recognize decision history for sapphire lens; identify previous choices from workcell W1; recall actions for depth camera 1.","Metacognitive_Remember","Metacognitive","Remember"
"Enumerate the specifications of graphene membrane; name the manufacturer label from rack R4.","Factual_Remember","Factual","Remember"
"State calibration procedure for pneumatic cylinder; recall adjustment steps from workcell W7; list tuning sequence for force sensor B.","Procedural_Remember","Procedural","Remember"
"Recall safety class for vibration monitor; state hazard category from sorting bench 1; identify risk level for rotary actuator 2.","Conceptual_Remember","Conceptual","Remember"
"Verify testing methodology for tungsten electrode; evaluate validation coverage from bin A4.","Procedural_Evaluate","Procedural","Evaluate"
"State the voltage rating of cellphone from the table 5; identify the amperage label; list the power specs via joint 3.","Factual_Remember","Factual","Remember"
"Formulate awareness enhancement for terminal block; create attention optimization from the table 2.","Metacognitive_Create","Metacognitive","Create"
"Summarize the key features of relay module; explain the model differences from workcell W6.","Factual_Understand","Factual","Understand"
"Apply weight class handling for potentiometer dial; use size guidelines from workcell W3.","Conceptual_Apply","Conceptual","Apply"
"Recall the dimensions of copper wire from the table 7; identify the color code.","Factual_Remember","Factual","Remember"
"Develop assembly procedure for junction box; create construction workflow from station ST3.","Procedural_Create","Procedural","Create"
"Deconstruct assembly process for polycarbonate shield; analyze construction sequence from bin B4; break down build for magnetic head 3.","Procedural_Analyze","Procedural","Analyze"
"Name protocol type for junction box; recall procedure class from the table 3.","Conceptual_Remember","Conceptual","Remember"
"State awareness level for epoxy resin block task; recall attention state from workcell W6; identify focus for gripper B.","Metacognitive_Remember","Metacognitive","Remember"
"Recognize material class of flow regulator; name composition category from bin C4.","Conceptual_Remember","Conceptual","Remember"
"Evaluate decision quality for glass vial; assess choice effectiveness from shelf S5.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Debug resource allocation for pressure gauge; analyze capacity management from workcell W2; investigate load balancing of laser scanner 2.","Metacognitive_Analyze","Metacognitive","Analyze"
"Segment the tea cup batch from bin A3; partition by category; divide using depth camera 1 criteria.","Factual_Analyze","Factual","Analyze"
"Audit assembly procedure for rubber gasket; evaluate construction quality from the table 2.","Procedural_Evaluate","Procedural","Evaluate"
"Formulate awareness enhancement for metal gear; create attention optimization from station ST4; develop focus strategy for gripper C.","Metacognitive_Create","Metacognitive","Create"
"Explain performance trend for zirconia bearing; describe efficiency pattern from station ST3.","Metacognitive_Understand","Metacognitive","Understand"
"Audit configuration process for glass vial; evaluate setup quality from workcell W3.","Procedural_Evaluate","Procedural","Evaluate"
"Activate the silicon wafer using magnetic head 2; toggle the power switch from conveyor belt 3.","Factual_Apply","Factual","Apply"
"Recognize the rubber gasket variant from rack R2; identify the batch number; list the SKU using vacuum generator 2.","Factual_Remember","Factual","Remember"
"Enumerate startup sequence for servo motor; recall initialization steps from zone Z4; list boot procedure for vacuum generator 1.","Procedural_Remember","Procedural","Remember"
"Formulate recovery strategy for gas detector; generate self-diagnosis from the staging area; create heuristic for encoder module 1 pathfinding.","Metacognitive_Create","Metacognitive","Create"
"Interpret classification system for lithium battery; explain grouping method from shelf S8; clarify category via vision sensor 2.","Conceptual_Understand","Conceptual","Understand"
"Compare nylon gear to reference model from shelf S4; distinguish vintage from modern; survey compatibility via ultrasonic sensor 1.","Conceptual_Analyze","Conceptual","Analyze"
"Illustrate relationship between silicone gasket types; explain category hierarchy from rack R5; describe tree via rotary actuator 1.","Conceptual_Understand","Conceptual","Understand"
"Summarize awareness state for glass vial; explain attention allocation from station ST1; describe focus for suction cup A.","Metacognitive_Understand","Metacognitive","Understand"
"Critique learning progress for tea cup; evaluate skill development from rack R4; assess competency of pressure pad sensor.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Construct theoretical framework for lithium battery; develop conceptual model from zone Z2.","Conceptual_Create","Conceptual","Create"
